IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
141.145.205.115,8443,true,CDG,Europe,Paris,259 ms,61 kB/s
130.61.109.6,2096,true,FRA,Europe,Frankfurt,269 ms,60 kB/s
130.61.109.6,8443,true,FRA,Europe,Frankfurt,276 ms,51 kB/s
158.178.129.114,2053,true,TLV,Middle East,Tel Aviv,296 ms,48 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,258 ms,42 kB/s
141.144.232.159,443,true,FRA,Europe,Frankfurt,247 ms,40 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,267 ms,36 kB/s
144.24.161.142,8443,true,FRA,Europe,Frankfurt,274 ms,34 kB/s
144.24.169.81,2053,true,FRA,Europe,Frankfurt,260 ms,33 kB/s
141.148.225.142,443,true,AMS,Europe,Amsterdam,270 ms,30 kB/s
158.101.175.51,8443,true,FRA,Europe,Frankfurt,275 ms,30 kB/s
144.24.173.250,8443,true,FRA,Europe,Frankfurt,243 ms,27 kB/s
130.61.239.203,443,true,FRA,Europe,Frankfurt,268 ms,25 kB/s
141.147.47.32,8443,true,FRA,Europe,Frankfurt,262 ms,20 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,275 ms,16 kB/s
193.123.235.59,443,true,NRT,Asia Pacific,Tokyo,76 ms,0 kB/s
129.146.7.98,443,true,LAX,North America,Los Angeles,276 ms,0 kB/s
150.136.61.148,443,true,IAD,North America,Ashburn,236 ms,0 kB/s
130.61.203.115,8443,true,FRA,Europe,Frankfurt,266 ms,0 kB/s
143.47.179.42,443,true,FRA,Europe,Frankfurt,264 ms,0 kB/s
129.159.47.255,443,true,SJC,North America,San Jose,188 ms,0 kB/s
158.101.24.17,443,true,LAX,North America,Los Angeles,283 ms,0 kB/s
152.70.235.207,443,true,NRT,Asia Pacific,Tokyo,70 ms,0 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,278 ms,0 kB/s
150.136.87.192,443,true,IAD,North America,Ashburn,255 ms,0 kB/s
129.154.50.159,443,true,ICN,Asia Pacific,Seoul,137 ms,0 kB/s
129.146.240.62,443,true,LAX,North America,Los Angeles,261 ms,0 kB/s
140.238.225.218,80,true,BOM,Asia Pacific,Mumbai,275 ms,0 kB/s
150.230.249.48,443,true,ICN,Asia Pacific,Seoul,156 ms,0 kB/s
